Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
Palhoça,SC,7486,0.757,0.752,0.672,27123.36,153,0
Itaperuna,RJ,4115,0.73,0.716,0.649,25987.98,117,0
Dracena,SP,1650,0.78,0.752,0.737,24326.29,43,0
Mossoró,RN,13799,0.72,0.694,0.663,19714.79,185,0
Itapevi,SP,13035,0.735,0.687,0.677,53634.91,96,0
Ituverava,SP,1724,0.765,0.768,0.694,30266.17,29,0
Ijuí,RS,3276,0.78,0.786,0.707,36686.17,112,0
João Monlevade,MG,3607,0.758,0.724,0.708,29336.66,78,0
Ubatuba,SP,3278,0.75,0.741,0.679,20447.3,49,0
Maricá,RJ,5535,0.765,0.761,0.692,39078.14,129,0
Guaíra,SP,1887,0.753,0.759,0.683,95399.47,34,0
Ituiutaba,MG,4503,0.74,0.745,0.644,27602.09,56,0
Colombo,PR,12050,0.733,0.715,0.632,19883.1,156,0
Caieiras,SP,4661,0.78,0.74,0.749,27897.02,84,0
Buritama,SP,749,0.763,0.736,0.72,30970.21,6,0
Cândido Mota,SP,1427,0.747,0.701,0.704,29350.05,26,0
São Joaquim Da Barra,SP,2304,0.762,0.74,0.706,28983.75,51,0
Itaúna,MG,3754,0.758,0.749,0.685,28368.39,94,0
Santarém,PA,15704,0.691,0.632,0.648,15531.42,410,0
São Gotardo,MG,1627,0.736,0.739,0.632,20738.29,32,0
Barra Do Piraí,RJ,4591,0.733,0.723,0.665,20436.21,80,0
Mirassol,SP,2420,0.762,0.748,0.698,30038.14,58,0
Caçador,SC,3800,0.735,0.728,0.62,35548.52,40,0
São Bento Do Sul,SC,2727,0.782,0.763,0.719,32369.89,99,0
São José Do Rio Pardo,SP,1979,0.774,0.744,0.717,30971.46,63,0
Mococa,SP,2852,0.762,0.756,0.709,28127.42,61,0
Ilhéus,BA,7405,0.69,0.688,0.59,21743.84,153,0
Peruíbe,SP,3289,0.75,0.73,0.675,18066.2,58,0
Nova Odessa,SP,2483,0.79,0.755,0.762,48867.19,55,0
Itupeva,SP,2373,0.762,0.75,0.699,84277.15,61,0
Santa Luzia,MG,11043,0.715,0.682,0.625,15182.19,119,0
Maracanaú,CE,13064,0.69,0.617,0.665,36223.88,171,0
Três Rios,RJ,3864,0.725,0.725,0.656,45958.79,97,0
Votorantim,SP,5630,0.767,0.72,0.747,36917.03,81,0
São Manuel,SP,1909,0.74,0.735,0.695,27514.47,39,0
Penápolis,SP,2431,0.759,0.748,0.68,27010.39,79,0
Alagoinhas,BA,6649,0.68,0.681,0.592,20452.72,169,0
Andradina,SP,2213,0.779,0.762,0.702,54270.98,32,0
Cambé,PR,4748,0.73,0.724,0.651,34469.94,87,0
Paulista,PE,12964,0.732,0.673,0.703,11720.31,193,0
Porto Ferreira,SP,2509,0.75,0.736,0.696,31674.93,64,0
Jales,SP,1858,0.78,0.75,0.73,26810.58,54,0
Taquaritinga,SP,2616,0.748,0.727,0.696,24057.32,67,0
Santo Antônio De Posse,SP,1061,0.7,0.718,0.576,39295.21,24,0
Santa Cruz Do Rio Pardo,SP,2054,0.762,0.744,0.686,42021.86,58,0
Mairiporã,SP,3576,0.79,0.767,0.723,17441.73,70,0
São Lourenço,MG,1939,0.759,0.746,0.673,20315.79,54,0
Teófilo Otoni,MG,6144,0.701,0.698,0.598,16582.17,137,0
Jandira,SP,6560,0.76,0.738,0.706,28454.96,53,0
Garanhuns,PE,7277,0.664,0.662,0.556,15200.55,127,0
Sapucaia Do Sul,RS,6811,0.726,0.726,0.624,22514.85,109,0
Adamantina,SP,1282,0.79,0.772,0.75,32838.7,32,0
Lorena,SP,4248,0.77,0.736,0.713,26852.97,108,0
Ponte Nova,MG,2573,0.72,0.714,0.608,24700.71,68,0
Cerquilho,SP,1866,0.782,0.758,0.739,37056.84,48,0
Campo Limpo Paulista,SP,4131,0.769,0.733,0.739,20515.77,84,0
Ouro Preto,MG,3060,0.741,0.721,0.677,39001.79,94,0
Cruzeiro,SP,3998,0.79,0.742,0.758,24424.5,86,0
Mesquita,RJ,8849,0.737,0.704,0.678,13396.88,75,0
Pará De Minas,MG,3936,0.725,0.715,0.628,27044.16,75,0
Linhares,ES,6525,0.72,0.721,0.63,31705.48,102,0
Concórdia,SC,2761,0.8,0.777,0.756,39910.16,69,0
Vargem Grande Do Sul,SP,1957,0.737,0.721,0.643,21192.61,30,0
Esteio,RS,4064,0.754,0.769,0.662,40413.26,93,0
Xanxerê,SC,2123,0.775,0.76,0.711,31147.64,69,0
Conchas,SP,757,0.736,0.725,0.658,18466.68,18,0
Valença,RJ,2996,0.738,0.713,0.666,27254.8,82,0
Itabirito,MG,2285,0.73,0.737,0.638,52884.26,75,0
Dom Pedrito,RS,1675,0.708,0.715,0.585,29405.65,35,0
Lajeado,RS,3427,0.778,0.796,0.704,44199.92,109,0
Boituva,SP,2415,0.78,0.757,0.728,45941.81,69,0
Formiga,MG,2562,0.755,0.729,0.676,21743.96,49,0
Franco Da Rocha,SP,6601,0.731,0.702,0.654,16661.58,91,0
Juazeiro Do Norte,CE,15801,0.69,0.644,0.642,15604.19,226,0
Timóteo,MG,3989,0.77,0.737,0.742,29862.73,88,0
Santa Fé Do Sul,SP,1168,0.784,0.763,0.751,30257.7,46,0
Ibitinga,SP,2446,0.747,0.738,0.667,23270.16,31,0
Marabá,PA,15327,0.67,0.673,0.564,28020.9,283,0
Tietê,SP,1607,0.778,0.764,0.698,42709.38,48,0
Paranapanema,SP,801,0.72,0.697,0.631,32957.63,10,0
Cajuru,SP,1131,0.713,0.693,0.633,21481.97,19,0
Araguaína,TO,9657,0.752,0.727,0.712,21981.28,115,0
Várzea Paulista,SP,5931,0.759,0.72,0.705,20044.5,66,0
Rio Bonito,RJ,1918,0.71,0.705,0.62,26627.87,75,0
Guaíba,RS,4604,0.73,0.732,0.639,56111.13,62,0
Embu-Guaçu,SP,3620,0.75,0.713,0.708,15691.8,73,0
Barra Bonita,SP,1427,0.79,0.762,0.739,38128.22,34,0
Mariana,MG,2635,0.742,0.705,0.664,35859.82,48,0
São Sebastião Do Paraíso,MG,2963,0.722,0.735,0.613,23236.56,84,0
Sobral,CE,10271,0.71,0.647,0.675,20258.09,160,0
Pedreira,SP,1495,0.769,0.75,0.701,24386.64,44,0
Louveira,SP,1661,0.777,0.783,0.697,250827.01,39,0
Altamira,PA,5847,0.665,0.662,0.548,22492.43,74,0
Palotina,PR,1251,0.768,0.76,0.689,62619.57,53,0
Coronel Fabriciano,MG,5252,0.755,0.715,0.696,14623.85,80,0
Congonhas,MG,2552,0.753,0.732,0.665,50722.06,28,0
Queimados,RJ,7824,0.68,0.659,0.589,32314.25,49,0
Parauapebas,PA,11815,0.715,0.701,0.644,64395.75,106,0
Caeté,MG,1837,0.728,0.69,0.663,13787.43,38,0
Videira,SC,2376,0.764,0.772,0.675,41596.26,50,0
Registro,SP,2178,0.754,0.718,0.702,32358.84,41,0
Bastos,SP,884,0.75,0.696,0.718,39033.19,10,0
Santo Antônio De Jesus,BA,4578,0.7,0.677,0.622,20442.1,66,0
Mirandópolis,SP,936,0.75,0.732,0.665,20960.79,24,0
Vitória De Santo Antão,PE,6247,0.64,0.629,0.543,23647.17,61,0
Itararé,SP,2507,0.703,0.668,0.649,18374.14,53,0
Campos Do Jordão,SP,2269,0.75,0.761,0.648,23400.87,48,0
Cabo De Santo Agostinho,PE,5857,0.69,0.654,0.609,43485.31,153,0
Arapiraca,AL,12119,0.649,0.638,0.549,17245.95,187,0
Pompéia,SP,841,0.79,0.75,0.748,49748.23,24,0
Porto Feliz,SP,1927,0.758,0.737,0.706,31387.01,25,0
